,id_distribuidor,probs,grupo,cosecha_canasta
167,3434,0.988,1,1.54
168,3438,0.987,1,1.54
169,3444,0.99,1,1.54
170,3453,0.991,1,1.54
171,3460,0.993,1,1.54
172,3474,0.998,1,1.54
173,3475,0.7156,3,4.97
174,3481,0.996,1,1.54
175,3487,0.5337000000000001,5,10.69
176,3488,0.1757,9,20.33
177,3498,0.991,1,1.54
178,3499,0.999,1,1.54
179,3505,0.3162,7,12.35
180,3506,0.5407,5,10.69
181,3552,0.1777,9,20.33
182,3583,0.2683999999999999,8,12.68
183,3592,0.997,1,1.54
184,3641,0.993,1,1.54
185,3670,0.993,1,1.54
186,3673,0.4136999999999999,6,11.87
187,3690,0.991,1,1.54
188,3698,0.985,1,1.54
189,3722,0.7095999999999999,3,4.97
190,3753,0.1797,9,20.33
191,3782,0.989,1,1.54
192,3788,0.6473,3,4.97
193,3807,0.1777,9,20.33
194,3810,0.999,1,1.54
195,3820,0.1677,9,20.33
196,3824,0.6032,4,7.38
197,3832,0.1717,9,20.33
198,3833,0.7116,3,4.97
199,3838,0.992,1,1.54
200,3841,0.6249,4,7.38
201,3868,0.992,1,1.54
202,3908,0.1697,9,20.33
203,3961,0.6244,4,7.38
204,3962,0.998,1,1.54
205,3969,0.1727,9,20.33
206,3991,0.6209,4,7.38
207,3998,0.3518,7,12.35
208,4020,0.5575,4,7.38
209,4038,0.996,1,1.54
210,4040,0.5317000000000001,5,10.69
211,4054,0.995,1,1.54
212,4063,0.1747,9,20.33
213,4064,0.988,1,1.54
214,4067,0.1667,9,20.33
215,4071,0.993,1,1.54
216,4078,0.1747,9,20.33
217,4085,0.1667,9,20.33
218,4135,0.991,1,1.54
219,4140,0.7525,2,3.4
220,4141,0.4196999999999999,6,11.87
221,4181,0.5307,5,10.69
222,4182,0.991,1,1.54
223,4195,0.987,1,1.54
224,4197,0.1737,9,20.33
225,4211,0.1727,9,20.33
226,4213,0.1687,9,20.33
227,4220,0.3318,7,12.35
228,4233,0.989,1,1.54
229,4414,0.6229,4,7.38
230,4418,0.989,1,1.54
231,4454,0.994,1,1.54
232,4463,0.988,1,1.54
233,4465,0.6812,3,4.97
234,4466,0.999,1,1.54
235,4506,0.995,1,1.54
236,4512,0.5184000000000001,5,10.69
237,4532,0.4836999999999999,5,10.69
238,4533,0.987,1,1.54
239,4536,0.2632,8,12.68
240,4537,0.1677,9,20.33
241,4538,0.2996,7,12.35
242,4555,0.991,1,1.54
243,4584,0.3747,6,11.87
244,4609,0.996,1,1.54
245,4620,0.991,1,1.54
246,4645,0.8049000000000001,2,3.4
247,4688,0.991,1,1.54
248,4708,0.989,1,1.54
249,4721,0.2464,8,12.68
250,4722,0.0835,10,22.69
251,4731,0.994,1,1.54
252,4732,0.993,1,1.54
253,4737,0.0765,10,22.69
254,4747,0.3604,7,12.35
255,4748,0.985,1,1.54
256,4752,0.5367000000000001,5,10.69
257,4759,0.992,1,1.54
258,4806,0.997,1,1.54
259,4816,0.989,1,1.54
260,4824,0.7176,3,4.97
261,4826,0.998,1,1.54
262,4835,0.0825,10,22.69
263,4853,0.989,1,1.54
